League	Team Name	Date Added	Team Type	&nbsp;	&nbsp;	&nbsp;	
Ithaca League Of Women Rollers	The Ithaca Suffer Jets	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Ithaca League Of Women Rollers	The Bluestockings	12-22-09	League	&nbsp;	&nbsp;	&nbsp;	
Jackson Hole Roller Derby	Rock Candies	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Jacksonville Rollergirls	New Jax City Rollers	12-08-09	Travel	&nbsp;	&nbsp;	&nbsp;	
Jacksonville Rollergirls	Duval Derby Dames	12-08-09	League	&nbsp;	&nbsp;	&nbsp;	
Jacksonville Rollergirls	River City Rat Pack	12-08-09	League	&nbsp;	&nbsp;	&nbsp;	
Jacksonville Rollergirls	First Coast Fatales	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Jefferson State Rollers	Jefferson State Rollers	04-14-10	League	&nbsp;	&nbsp;	&nbsp;	
Jersey Shore Roller Girls	Jersey Shore Beat Down	04-13-11	League	&nbsp;	&nbsp;	&nbsp;	
Jersey Shore Rollergirls	All Stars	12-08-09	Travel	&nbsp;	&nbsp;	&nbsp;	
Jersey Shore Roller Girls	Anchor Assassins	12-08-09	League	&nbsp;	&nbsp;	&nbsp;	
Jersey Shore Roller Girls	Murder Beach Militia	12-08-09	League	&nbsp;	&nbsp;	&nbsp;	
Jersey Shore Roller Girls	Right Coast Rollers	12-8-2009	League	&nbsp;	&nbsp;	&nbsp;	
Jet City Rollergirls	Camero Harem	12-8-2009	League	&nbsp;	&nbsp;	&nbsp;	
Jet City Rollergirls	CarnEvil	12-8-2009	League	&nbsp;	&nbsp;	&nbsp;	
Jet City Rollergirls	Derby Enforcement Agency (DEA)	12-08-09	League	&nbsp;	&nbsp;	&nbsp;	
Jet City Rollergirls	Hula Honeys	12-8-2009	League	&nbsp;	&nbsp;	&nbsp;	
Jet City Rollergirls	Pink Pistols	12-8-2009	League	&nbsp;	&nbsp;	&nbsp;	
Jet City Rollergirls	Bombers	12-8-2009	Travel	&nbsp;	&nbsp;	&nbsp;	
Junction City Roller Dolls	Junction City Trainwrecks	12-8-2009	Travel	&nbsp;	&nbsp;	&nbsp;	
KC Roller Warriors	Black-Eye Susans	12-8-2009	League	&nbsp;	&nbsp;	&nbsp;	
KC Roller Warriors	Dreadnought Dorothys	12-8-2009	League	&nbsp;	&nbsp;	&nbsp;	
KC Roller Warriors	Knockouts	12-8-2009	League	&nbsp;	&nbsp;	&nbsp;	
KC Roller Warriors	Victory Vixens	12-8-2009	League	&nbsp;	&nbsp;	&nbsp;	
KC Roller Warriors	All Stars	12-8-2009	Travel	&nbsp;	&nbsp;	&nbsp;	
Kallio Rolling Rainbow	Kallio Rolling Rainbow	9-14-2010	League	&nbsp;	&nbsp;	&nbsp;	
Kamloops Roller Derby Association	Venomous Vixens	11-9-2010	League	&nbsp;	&nbsp;	&nbsp;	
Kannapolis Rollergirls	Kannapolis Rollergirls	4-27-2011	League	&nbsp;	&nbsp;	&nbsp;	
Kauai Derby Divas, Inc.	Kauai Double D's	12-8-2009	League	&nbsp;	&nbsp;	&nbsp;	
Keystone State Rollin' Renegades	Keystone State Rollin' Renegades	10-22-2010	League	&nbsp;	&nbsp;	&nbsp;	
Killamazoo Derby Darlins	Killamazoo Derby Darlins	12-8-2009	League	&nbsp;	&nbsp;	&nbsp;	
Kingsford Krush	Kingsford Krush	3-1-2011	League	&nbsp;	&nbsp;	&nbsp;	
Kitsap Derby Brats	Kitsap Derby Brats	&nbsp;	Jr.	&nbsp;	&nbsp;	&nbsp;	
L*Town Marilyn Monrolls	The Bouncing Betties	5-18-2010	League	&nbsp;	&nbsp;	&nbsp;	
L*Town Marilyn Monrolls	Daughters of Slaughter	5-18-2010	Leauge	&nbsp;	&nbsp;	&nbsp;	
LA Derby Dolls	Fight Crew	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
LA Derby Dolls	Sirens	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
LA Derby Dolls	Tough Cookies	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
LA Derby Dolls	Tru$t Fund Terror$	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
LA Derby Dolls	Varsity Brawlers	04-29-08	League	&nbsp;	&nbsp;	&nbsp;	
Lacombe Roller Derby Association	Highrollin' Hoochies	04-10-09	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
LaCrosse Skating Sirens	LaCrosse Skating Sirens	12-08-09	League	&nbsp;	&nbsp;	&nbsp;	
Ladies of Hell Town	Ladies of Hell Town	09-21-10	League	&nbsp;	&nbsp;	&nbsp;	
Lafayette Brawlin' Dolls	Lafayette Brawlin' Dolls	12-09-09	League	&nbsp;	&nbsp;	&nbsp;	
Lake City Roller Dolls	Lake City Roller Dolls	1-17-2011	League	&nbsp;	&nbsp;	&nbsp;	
Lava City Roller Dolls	Smokin Ashes	12-9-2009	A Travel	&nbsp;	&nbsp;	&nbsp;	
Lava City Roller Dolls	Cinder Kittens	12-9-2009	B Travel	&nbsp;	&nbsp;	&nbsp;	
Leeds Roller Dolls	Leeds Roller Dolls	12-9-2009	League	&nbsp;	&nbsp;	&nbsp;	
Lehigh Valley Roller Girls	Hissy Fits	&nbsp;	A Travel	&nbsp;	&nbsp;	&nbsp;	
Lehigh Valley Roller Girls	Special Vixen Unit	02-02-08	B Travel	&nbsp;	&nbsp;	&nbsp;	
Lil Chicago Roller Derby	Lil Chicago Roller Derby	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Lilac City Rollergirls	Pretty Deadlys	12-09-09	League	&nbsp;	&nbsp;	&nbsp;	
Lilac City Rollergirls	Toothless Annies	12-09-09	League	&nbsp;	&nbsp;	&nbsp;	
Lilac City Rollergirls	She Wolves	12-09-09	League	&nbsp;	&nbsp;	&nbsp;	
Lilac City Rollergirls	Atomic Pixies	12-09-09	Jr League	&nbsp;	&nbsp;	&nbsp;	
Lincolnshire Bombers	Lincolnshire Bombers	12-09-09	League	&nbsp;	&nbsp;	&nbsp;	
Little City Derby Brats	Little City Derby Brats	12-09-09	Jr League	&nbsp;	&nbsp;	&nbsp;	
Little City Roller Girls	Little City Roller Girls	12-09-09	League	&nbsp;	&nbsp;	&nbsp;	
Little Steel Derby Girls	Little Steel Derby Girls	12-09-09	League	&nbsp;	&nbsp;	&nbsp;	
London Rockin' Rollers	London Rockin Rollers	12-09-09	Travel	&nbsp;	&nbsp;	&nbsp;	
London Rockin' Rollers	The NeanderDolls	08-03-10	League	&nbsp;	&nbsp;	&nbsp;	
London Rockin' Rollers	VooDoo Skull Krushers	08-03-10	League	&nbsp;	&nbsp;	&nbsp;	
London Rockin' Rollers	Goldie Lookin' ChainGang	08-03-10	League	&nbsp;	&nbsp;	&nbsp;	
London Rollergirls	London Brawling	09-10-10	Travel	&nbsp;	&nbsp;	&nbsp;	
London Rollergirls	Harbour Grudges	09-10-10	League	&nbsp;	&nbsp;	&nbsp;	
London Rollergirls	Brawl Saints	09-10-10	Travel	&nbsp;	&nbsp;	&nbsp;	
London Rollergirls	Steam Rollers	10-10-08	League	&nbsp;	&nbsp;	&nbsp;	
London Rollergirls	Suffra Jets (Cleared)	10-10-08	League	&nbsp;	&nbsp;	&nbsp;	
London Rollergirls	Ultraviolent Femmes (Cleared)	10-10-08	League	&nbsp;	&nbsp;	&nbsp;	
Lonestar Rollergirls	Cherry Bombs	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Lonestar Rollergirls	Hellcats	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Lonestar Rollergirls	Holy Rollers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Lonestar Rollergirls	Putas del Fuego	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Lonestar Rollergirls	Rhinestone Cowgirls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Long Island Roller Rebels	Ladies Laceration	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Long Island Roller Rebels	Long Island Roller Rebels	01-22-07	Travel	&nbsp;	&nbsp;	&nbsp;	
Long Island Roller Rebels	Thundercats	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Long Island Roller Rebels	Wicked Wheelers of the West	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Lost Highway Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Low Country High Rollers	Low Country High Rollers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Mad Rollin' Dolls	Dairyland Dolls	11-19-2010	A Travel	&nbsp;	&nbsp;	&nbsp;	
Mad Rollin' Dolls	Quad Squad	11-19-2010	League	&nbsp;	&nbsp;	&nbsp;	
Mad Rollin' Dolls	Reservoir Dolls	11-19-2010	League	&nbsp;	&nbsp;	&nbsp;	
Mad Rollin' Dolls	Team Unicorn	05-21-08	B Travel	&nbsp;	&nbsp;	&nbsp;	
Mad Rollin' Dolls	Unholy Rollers	11-19-2010	League	&nbsp;	&nbsp;	&nbsp;	
Mad Rollin' Dolls	Vaudeville Vixens	11-19-2010	League	&nbsp;	&nbsp;	&nbsp;	
Madison Junior Derby Divas	Madison Junior Derby Divas	12-11-2010	League	&nbsp;	&nbsp;	&nbsp;	
Magic City Rollergirls	Misfits	5-7-2010	League	&nbsp;	&nbsp;	&nbsp;	
Magnolia Roller Vixens	Magnolia Roller Vixens	10-27-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Magnolia Roller Vixens	Jacktown Smacktown	10-27-2010	League	&nbsp;	&nbsp;	&nbsp;	
Magnolia Roller Vixens	Maidens of Mayhem	10-27-2010	League	&nbsp;	&nbsp;	&nbsp;	
Maine Roller Derby	Calamity Janes	02-25-08	B Travel	&nbsp;	&nbsp;	&nbsp;	
Maine Roller Derby	Port Authorities	02-25-08	A Travel	&nbsp;	&nbsp;	&nbsp;	
Malice Springs Roller Derby	Malice Springs Roller Derby	01-25-11	League	&nbsp;	&nbsp;	&nbsp;	
Mamas Bad Derby Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Manchester Roller Derby	Manchester Arcadians	04-19-11	League	&nbsp;	&nbsp;	&nbsp;	
Manchester Roller Derby	Manchester Heretics	04-19-11	Mens	&nbsp;	&nbsp;	&nbsp;	
ManchVegas Roller Girls	Pandora's Pin-Ups	11-19-10	B-Team	&nbsp;	&nbsp;	&nbsp;	
ManchVegas Roller Girls	Strak Raving Luna Chicks	11-19-10	B-Team	&nbsp;	&nbsp;	&nbsp;	
ManchVegas Roller Girls	ManchVegas Roller Girls	11-19-10	A-Team	&nbsp;	&nbsp;	&nbsp;	
Man's Ruin Roller Girls	Asked to be removed.	11-08-10	-	&nbsp;	&nbsp;	&nbsp;	
Margaret River Roller Derby	Margie's Militia	12-10-10	League	&nbsp;	&nbsp;	&nbsp;	
Mason Vixen RollerGirls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Mason-Dixon Roller Vixens	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Maui Roller Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Meatgrinders Bremen	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Melbourne Mens Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Melbourne Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Memphis Roller Derby	Angels of Death	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Memphis Roller Derby	Legion of Zoom	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Memphis Roller Derby	Memphis Hustlin' Rollers	02-25-08	Travel	&nbsp;	&nbsp;	&nbsp;	
Memphis Roller Derby	PrissKilla Prezleys	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Memphis Roller Derby	Women of Mass Destruction	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Mens UK Roller Derby Association (M.U.R.D.A.)	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Mid Iowa Rollers	Mid Iowa Rollers	11-19-2010	League/Travel	&nbsp;	&nbsp;	&nbsp;	
Mid Michigan Derby Girls	Rebel Rollers	10-29-10	B Travel	&nbsp;	&nbsp;	&nbsp;	
Mid Rivers Roller Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Middlesbrough Milk Rollers	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Midwest Mens Roller Derby	Monsters of the Midwest	10-29-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Mill City Mayhem	Mill City Mayhem	3-21-2011	League	&nbsp;	&nbsp;	&nbsp;	
Minnesota RollerGirls	Minnesota Rollergirls All-Stars	10-27-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
Minnesota RollerGirls	Atomic Bombshells	10-27-2010	League	&nbsp;	&nbsp;	&nbsp;	
Minnesota RollerGirls	Dagger Dolls	10-27-2010	League	&nbsp;	&nbsp;	&nbsp;	
Minnesota RollerGirls	Garda Belts	10-27-2010	League	&nbsp;	&nbsp;	&nbsp;	
Minnesota RollerGirls	Rockits	10-27-2010	League	&nbsp;	&nbsp;	&nbsp;	
Misfits of Roller Derby	Misfits of Roller Derby	04-26-09	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Mission City Brawlin' Betties	Brawlin' Betties	11-06-08	League	&nbsp;	&nbsp;	&nbsp;	
Mission City Brawlin' Betties	Derby Justice League	1-14-2011	League	&nbsp;	&nbsp;	&nbsp;	
Mississippi Rollergirls	B-Town Cruizers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Mississippi Rollergirls	Dixie Devils	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Mississippi Valley Mayhem	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
MK Roller Derby	MK Concrete Cows	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Mo-Kan Roller Girlz	Mo-Kan Roller Girlz	10-29-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Molly Roger Rollergirls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Monashee Roller Girls	Redneck Daisies	04-13-11	League	&nbsp;	&nbsp;	&nbsp;	
Montana Derby Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Monterey Bay Derby Dames	Babes of Wrath	05-26-10	League	&nbsp;	&nbsp;	&nbsp;	
Monterey Bay Derby Dames	Cannery Rollers	05-26-10	League	&nbsp;	&nbsp;	&nbsp;	
Montreal Roller Derby	La Racaille	12-04-07	League	&nbsp;	&nbsp;	&nbsp;	
Montreal Roller Derby	Les Contrabanditas	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Montreal Roller Derby	Les Filles du Roi	01-17-07	League	&nbsp;	&nbsp;	&nbsp;	
Montreal Roller Derby	Montreal Sexpos	10-16-08	League	&nbsp;	&nbsp;	&nbsp;	
Monument Roller Mamas	Blackeye Betties	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Monument Roller Mamas	High Octane Honeys	03-13-08	League	&nbsp;	&nbsp;	&nbsp;	
Morristown Madams	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Mother State Roller Derby	Mother State Roller Derby	07-16-10	Travel	&nbsp;	&nbsp;	&nbsp;	
Motown Roller Vixens	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Mountain City Rollers	Psycho Bettie Brawlers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Mountain City Rollers	Killa'billy Brides	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Mountain Derby Girls	High Country Hellcats	04-24-09	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Mountain Derby Girls	High Country Hellcats	04-22-09	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Mountain Gateway	Sisterhood of Steel	06-24-10	League	&nbsp;	&nbsp;	&nbsp;	
Mountain Mauler's Roller Derby	Mountain Mauler's Roller Derby	04-29-11	League	&nbsp;	&nbsp;	&nbsp;	
Muddy Water Murder Dolls	Dominate Tricks	06-12-08	League	&nbsp;	&nbsp;	&nbsp;	
Nacogdoches Rollergirls	Brick Street Brawlers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Nacogdoches Rollergirls	Iron Maidens (cleared)	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Nakusp Rollergirls	Nakusp Rollergirls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Nanaimo Nemesis Roller Girls	Nanaimo Nemesis Roller Girls	11-3-2010	League	&nbsp;	&nbsp;	&nbsp;	
Naptown Rollergirls	Tornado Sirens	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Nashville Rollergirls	Assault Rivals	01-18-07	League	&nbsp;	&nbsp;	&nbsp;	
Nashville Rollergirls	Damsels of Distress	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Nashville Rollergirls	X Pistols	03-31-08	Travel	&nbsp;	&nbsp;	&nbsp;	
Naughty Pines Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Navy City Roller Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
New England Ruthless Rollers	Viper Vixens	12-03-10	League	&nbsp;	&nbsp;	&nbsp;	
New Hampshire Roller Derby	Skate Free or Die!	09-28-10	A Travel	&nbsp;	&nbsp;	&nbsp;	
New Hampshire Roller Derby	Queen City Cherry Bombs	09-28-10	B Travel	&nbsp;	&nbsp;	&nbsp;	
New Hampshire Roller Derby	The Seabrook Meltdowns	09-28-10	League	&nbsp;	&nbsp;	&nbsp;	
New Hampshire Roller Derby	Granite Skate Troopers	09-28-10	League	&nbsp;	&nbsp;	&nbsp;	
New Jersey Hellrazors	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
New River Valley Roller Girls	Bruisin Burgs	02-13-09	League	&nbsp;	&nbsp;	&nbsp;	
New River Valley Roller Girls	Jaded Misfits	02-13-09	League	&nbsp;	&nbsp;	&nbsp;	
New York Derby Dames	Island Misfits	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
New York Derby Dames	Sound View Rough Rollers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
New York Shock Exchange	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Newcastle Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Nickel City Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Nidaros Roller Derby	Nidaros Roller Derby	11-14-2010	League	&nbsp;	&nbsp;	&nbsp;	
Nightmare on Main Street	Nightmare on Main Street	4-20-2011	League	&nbsp;	&nbsp;	&nbsp;	
No Coast Derby Girls	Mary Kay Mafia	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
NorCal Rollergirls	Angry Beavers	11-17-07	League	&nbsp;	&nbsp;	&nbsp;	
NorCal Rollergirls	Bar Brawlers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
NorCal Rollergirls	Mad Maxines	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
NorCal Rollergirls	Pirate's Booty	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
NorCal Rollergirls	Rough Riders	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
NorCal Rollergirls	VooDoo Dolls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
North Idaho Roller Derby	North Idaho Roller Derby	7-5-2010	Travel	&nbsp;	&nbsp;	&nbsp;	
North Louisiana Roller Dollz	Bayou Bomber Betties	4-20-2011	League	&nbsp;	&nbsp;	&nbsp;	
North Louisiana Roller Dollz	Dirty South Renegades	4-20-2011	League	&nbsp;	&nbsp;	&nbsp;	
North Louisiana Roller Dollz	I-20 Mayhem	4-20-2011	League	&nbsp;	&nbsp;	&nbsp;	
North Louisiana Roller Dollz	La'Wrecking Krewe	4-20-2011	League	&nbsp;	&nbsp;	&nbsp;	
North Pole Babes in Toyland	North Pole Babes in Toyland	11-1-2010	League	&nbsp;	&nbsp;	&nbsp;	
North Star Roller Girls	Banger Sisters	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Northern Brisbane Rollers	Love Rockettes	05-21-11	League	&nbsp;	&nbsp;	&nbsp;	
Northern Ohio's wRECk League	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
North Star Roller Girls	Delta Delta Di	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
North Star Roller Girls	Ice Queens	09-30-06	League	&nbsp;	&nbsp;	&nbsp;	
North Star Roller Girls	Kilmore Girls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
North Star Roller Girls	Violent Femmes	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
North Star Roller Girls	North Star Supernovas	02-08-09	League	&nbsp;	&nbsp;	&nbsp;	
NEO Roller Derby	Rock 'n' Roller Girls	04-19-10	A Travel	&nbsp;	&nbsp;	&nbsp;	
Northern Arizona Roller Derby	Whiskey Row-llers	02-25-09	League	&nbsp;	&nbsp;	&nbsp;	
Northern Brisbane Rollers	The Untouchabelles	05-21-11	League	&nbsp;	&nbsp;	&nbsp;	
Northern Brisbane Rollers	Diner Might Dolls	05-21-11	League	&nbsp;	&nbsp;	&nbsp;	
Northern Brisbane Rollers	Cut-Throat Cowgirls	02-24-09	League	&nbsp;	&nbsp;	&nbsp;	
NEO Roller Derby	Audio Assault	04-19-10	B Travel	&nbsp;	&nbsp;	&nbsp;	
Northern Brisbane Rollers	Cupcake Cannibals	02-24-09	League	&nbsp;	&nbsp;	&nbsp;	
Northern Lighting Rollergirls	Northern Lighting Rollergirls	03-11-11	league	&nbsp;	&nbsp;	&nbsp;	
Northern Nightmares	Deadly Housewives	03-05-08	League	&nbsp;	&nbsp;	&nbsp;	
Northern Nightmares	Unholy Angels	03-05-08	League	&nbsp;	&nbsp;	&nbsp;	
NOtown Roller Derby	NOtown Rollers	12-08-08	League	&nbsp;	&nbsp;	&nbsp;	
Nottingham Roller Girls	The Union Jackels	03-07-11	Travel	&nbsp;	&nbsp;	&nbsp;	
Norwich Roller Derby League	The Norfolk Brawds	10-13-10	League	&nbsp;	&nbsp;	&nbsp;	
NRV Rollergirls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
NWA Rollergirls	Arkansas Killbillies	01-11-07	Travel	&nbsp;	&nbsp;	&nbsp;	
NWA Rollergirls	Backwoods Betties	12-11-07	Travel	&nbsp;	&nbsp;	&nbsp;	
NWA Rollergirls	Hardwood Harlots	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
NWA Rollergirls	Twisted Sisters	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
NY Southern Tier Area Rollergirls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Oakland Derby Diamonds	Oakland Derby Diamonds	5-1-2011	League	&nbsp;	&nbsp;	&nbsp;	
OC Derby Brats	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Ohio Roller Girls	Band of Brawlers	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Ohio Roller Girls	Blackeye Bulles	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Ohio Roller Girls	Gang Green	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Ohio Roller Girls	Sprockettes	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Ohio Roller Girls	Take-Outs	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Oil City Derby Girls	G.I. Janes	4-13-2011	League	&nbsp;	&nbsp;	&nbsp;	
Oil City Derby Girls	Alice Capones	4-13-2011	League	&nbsp;	&nbsp;	&nbsp;	
Oil City Derby Girls	The Wailers	4-13-2011	League	&nbsp;	&nbsp;	&nbsp;	
Oil City Derby Girls	Tank 'er Girls	4-13-2011	B Team	&nbsp;	&nbsp;	&nbsp;	
Oil City Derby Girls	Oil City All Stars	4-13-2011	Travel	&nbsp;	&nbsp;	&nbsp;	
Oil City Derby Girls	Lil' Whips	4-13-2011	Junior	&nbsp;	&nbsp;	&nbsp;	
Okanagan Derby Girls	Peach Tarts	03-12-09	League	&nbsp;	&nbsp;	&nbsp;	
Okanagan Shuswap Roller Derby Association	Raggedy Rollers	09-24-10	League	&nbsp;	&nbsp;	&nbsp;	
Okanagan Shuswap Roller Derby Association	The KillBillies	9-24-2010	League	&nbsp;	&nbsp;	&nbsp;	
Okanagan Shuswap Roller Derby Association	Kiss Tanks	9-24-2010	League	&nbsp;	&nbsp;	&nbsp;	
Oklahoma City Roller Derby	Cell Block 9	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Oklahoma City Roller Derby	Homewrecking Harlots	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Oklahoma City Roller Derby	Valkyrie Vixens	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Oklahoma City Roller Derby	Victory Dolls	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Oklahoma City Roller Derby	Oklahoma City Tornadoes	01-22-09	League	&nbsp;	&nbsp;	&nbsp;	
Oklahoma Victory Dolls Roller Derby	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Old Capitol City Roller Girls	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Old Mountain Town Roller Derby	Old Mountain Town Roller Derby	02-13-11	League	&nbsp;	&nbsp;	&nbsp;	
Oly Rollers	Cosa Nostra Donnas	11-17-07	Travel	&nbsp;	&nbsp;	&nbsp;	
Oly Rollers	Oly Prima Donnas	11-26-07	League	&nbsp;	&nbsp;	&nbsp;	
Olympia Underground	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Omaha Rollergirls	Lowdown Lucys	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Omaha Rollergirls	Victoria's Secret Service	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
One O'clock Gunners	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	&nbsp;	
Orange Country Rollergirls	Psycho ExGirlfriends	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Orange Country Rollergirls	Dirty Dames	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Orange Country Rollergirls	OC Roller Girls League	&nbsp;	Travel	&nbsp;	&nbsp;	&nbsp;	
Orange Country Rollergirls	Rolling Knock-outs	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Orange Country Rollergirls	Trophy Wives	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Orange County Demolition Divas	Death Squad	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Orange County Demolition Divas	Kappa Jamma Slamma	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Orange County Demolition Divas	Sirens of Sabotage	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Orange County Demolition Divas	Vicious Vixens	&nbsp;	League	&nbsp;	&nbsp;	&nbsp;	
Orange County Derby Stars	Orange County Derby Stars	6-18-2010	League	&nbsp;	&nbsp;	&nbsp;	
